MIN,RANGE
61800,9665
60115,9581
59389,9592
59191,9450
59011,10043
59407,11163
60904,14705
62690,18430
64173,18360
65656,15587
65874,14106
65408,13503
65285,12450
64533,12588
63984,12958
63290,13200
63022,13107
63742,12579
65064,12401
68240,11789
68610,12063
68023,11470
66161,10676
63933,10089
